5.134396896401567656e-02,6.070373302719610509e-01,5.376707177071375021e+00,6.770911682039507662e-01,9.602240212184816326e-02,4.103919417489400034e-01,2.114661135125283919e-01,2.088131099323066453e-01,5.586679410949662028e-01,1.253980185661685027e+02
5.382688561091010515e-02,5.428780962983560388e-01,5.592708043417756514e+00,6.829947119398831479e-01,8.688693014194252828e-02,4.096291437845810401e-01,2.253505673643208806e-01,2.224069969384908918e-01,5.221480161425006150e-01,1.355867017534102956e+02
6.373462541930674519e-02,4.523856198963185915e-01,4.809982041812082443e+00,7.160912140412699634e-01,1.349799376545943730e-01,7.027961712845175457e-01,2.589468806719097960e-01,2.094454850404897928e-01,4.076218847321488314e-01,7.649761725341437568e+01
1.065415756329520652e-01,4.699219123505981033e-01,6.222979051535792117e+00,7.059503919804652750e-01,1.338550571905925135e-01,4.092132113224530299e-01,1.458037491363577687e-01,2.181241871224777751e-01,5.612698393522687068e-01,1.654583238658274524e+02
8.144192256341789560e-02,4.311117757009352847e-01,5.015220293724966361e+00,7.212283044058744874e-01,1.183030307076099880e-01,4.713079656982644416e-01,1.546273326515352764e-01,2.141050867823772463e-01,5.556752469959935770e-01,1.785884503337782405e+02
7.376391982182628482e-02,5.216941648106893092e-01,5.230824053452115763e+00,7.178619153674833386e-01,8.994622717149218516e-02,4.110392403483301704e-01,1.569323714405346237e-01,2.116040178173721753e-01,5.584046236080205672e-01,1.460556405345215580e+02
6.272895843697706697e-02,5.797664058613409832e-01,5.753697254760074209e+00,6.999683415494549754e-01,9.838853964090198134e-02,5.086253170679740920e-01,1.675627505029173014e-01,2.144469856632444382e-01,5.515970575731508063e-01,1.058293126045863062e+02
4.649532710280374070e-02,6.025282184579479061e-01,3.994158878504673105e+00,7.255841121495326673e-01,9.264655957943954134e-02,5.114850411133142760e-01,1.799416408633189024e-01,2.065285338785046165e-01,5.763859585280363129e-01,1.153636035046729518e+02
1.012521767974127185e-01,5.479035326312299281e-01,5.607637449208060509e+00,7.009287668960941797e-01,1.123699187328972282e-01,5.215281870391436092e-01,1.613537672671875867e-01,2.098531221494308874e-01,5.244802193382543942e-01,9.323881138568728488e+01
7.029177718832890776e-02,4.201253757736523875e-01,5.266578249336870243e+00,7.621573828470380452e-01,1.229163572060124471e-01,4.601430719628651356e-01,1.473699112378424880e-01,2.051381078691421334e-01,6.307467285587989858e-01,2.004745048629533244e+02
9.781605659796985264e-02,5.000752383881879037e-01,2.764687788372808264e+00,7.277760689018762941e-01,9.481793294370971514e-02,3.666227229129502829e-01,1.426780691940943979e-01,2.172982466933255363e-01,5.963102430021534062e-01,1.567626662565363347e+02
